student_id,item_Belief_Q1,item_Belief_Q2,item_Belief_Q3,item_Perception_Q4,item_Perception_Q5,item_Perception_Q6,item_Perception_Q7,item_Perception_Q8,item_Perception_Q9,item_Perception_Q10,item_Perception_Q11,item_Perception_Q12
1,4,3,5,1.0,1.0,6.0,6.0,6.0,1.0,3.0,1.0,0.0
4,4,4,1,1.0,1.0,6.0,5.0,6.0,1.0,2.0,1.0,0.0
5,4,5,5,2.0,1.0,6.0,6.0,6.0,1.0,3.0,1.0,0.0
6,5,3,5,2.0,1.0,6.0,6.0,6.0,1.0,2.0,1.0,0.0
7,4,3,5,2.0,1.0,5.0,5.0,6.0,1.0,2.0,1.0,0.0
8,4,3,5,1.0,1.0,6.0,6.0,5.0,1.0,2.0,1.0,0.0
9,5,4,5,1.0,1.0,6.0,6.0,6.0,1.0,2.0,1.0,0.0
11,4,5,4,2.0,1.0,6.0,5.0,6.0,1.0,2.0,1.0,0.0
12,4,5,5,2.0,1.0,6.0,5.0,6.0,1.0,3.0,1.0,0.0
13,5,3,5,1.0,1.0,6.0,6.0,6.0,1.0,2.0,1.0,0.0
15,3,5,3,2.0,1.0,6.0,5.0,4.0,1.0,2.0,1.0,0.0
16,3,4,5,1.0,1.0,6.0,6.0,6.0,1.0,3.0,1.0,0.0
17,4,3,5,2.0,1.0,6.0,5.0,6.0,1.0,2.0,1.0,0.0
18,4,2,5,1.0,1.0,6.0,5.0,6.0,1.0,2.0,1.0,0.0
19,4,6,3,1.0,1.0,6.0,6.0,6.0,1.0,2.0,1.0,0.0
20,5,4,5,2.0,1.0,6.0,6.0,6.0,1.0,3.0,1.0,0.0
22,5,3,5,2.0,1.0,6.0,6.0,5.0,1.0,2.0,1.0,0.0
23,4,5,4,2.0,1.0,6.0,5.0,6.0,1.0,2.0,1.0,0.0
24,4,3,5,1.0,2.0,6.0,5.0,6.0,1.0,2.0,1.0,0.0
25,4,5,5,3.0,2.0,5.0,6.0,5.0,2.0,3.0,1.0,0.0
26,4,3,5,1.0,1.0,5.0,6.0,6.0,1.0,3.0,1.0,0.0
27,5,3,5,2.0,1.0,6.0,5.0,6.0,1.0,2.0,1.0,0.0
