student_id,item_Family_Q1,item_Family_Q2,item_Family_Q3,item_Family_Q4,item_Family_Q5,item_Family_Q6,item_Family_Q7,item_Family_Q8,item_Family_Q9,item_Family_Q10,item_Family_Q11,item_Family_Q12,item_Family_Q13,item_Family_Q14,item_Family_Q15,item_Family_Q16,item_Family_Q17,item_Family_Q18,item_Family_Q19,item_Event_Q1,item_Event_Q2,item_Event_Q3,item_Event_Q4,item_Event_Q5,item_Event_Q6,item_Event_Q7,item_Scenario1_Q1,item_Scenario1_Q2,item_Scenario1_Q3,item_Scenario1_Q4,item_Scenario1_Q5
8,4,2,3,4,4,6,4,6,5,5,3,1,2,7,6,6,4,5,6,,,,,,,,6,5,5,4,4
9,7,6,6,7,7,3,1,2,3,2,6,6,6,3,2,4,3,4,4,2.0,6.0,1.0,5.0,3.0,6.0,4.0,7,7,7,7,7
18,7,6,6,7,7,4,1,2,3,1,6,7,6,3,3,4,3,5,4,2.0,7.0,1.0,6.0,2.0,6.0,5.0,7,7,7,6,7
21,7,6,7,7,7,2,1,1,1,1,7,7,7,2,2,2,2,4,2,2.0,6.0,3.0,5.0,3.0,4.0,1.0,7,7,7,7,7
22,4,4,3,4,4,6,5,6,7,6,3,2,1,6,7,7,6,5,7,2.0,7.0,1.0,7.0,1.0,7.0,6.0,6,5,5,4,4
24,5,4,3,4,5,6,5,6,7,6,3,2,2,6,7,7,4,5,6,2.0,7.0,1.0,7.0,1.0,7.0,6.0,7,6,5,4,5
26,6,5,5,5,6,6,2,1,5,4,5,4,4,5,4,6,3,5,4,1.0,7.0,2.0,7.0,2.0,7.0,5.0,7,6,6,6,6
44,4,3,2,3,4,6,5,6,7,6,3,2,2,7,6,6,4,5,5,1.0,7.0,1.0,7.0,1.0,7.0,6.0,6,5,4,3,4
47,6,4,5,5,5,6,6,6,7,5,4,2,3,6,6,7,4,5,5,1.0,7.0,2.0,7.0,2.0,7.0,6.0,7,6,6,5,6
51,6,5,4,5,5,6,4,6,5,6,4,3,2,6,6,7,5,6,7,1.0,7.0,1.0,7.0,1.0,7.0,6.0,6,4,5,4,3
52,6,6,6,7,7,3,1,2,2,2,6,7,6,4,3,4,3,5,4,2.0,6.0,1.0,5.0,3.0,5.0,4.0,7,7,6,7,7
53,7,6,5,6,7,4,2,2,2,2,6,6,5,5,4,6,3,5,4,2.0,7.0,1.0,6.0,4.0,5.0,3.0,7,6,6,6,7
80,6,6,5,6,6,4,2,2,3,2,6,5,6,3,3,4,2,4,3,2.0,6.0,2.0,5.0,4.0,4.0,3.0,7,6,6,7,7
87,4,2,2,3,3,6,5,5,6,5,3,1,2,6,7,6,5,5,6,1.0,7.0,1.0,7.0,1.0,7.0,7.0,6,5,4,4,3
94,6,6,5,6,7,4,2,2,2,2,6,5,6,3,2,4,3,5,4,1.0,7.0,2.0,6.0,2.0,6.0,5.0,7,6,6,7,7
120,5,4,5,5,5,6,4,5,6,4,4,3,3,6,6,7,4,5,5,1.0,7.0,2.0,7.0,1.0,7.0,6.0,7,6,6,6,7
134,4,2,1,3,3,6,5,6,7,7,1,1,1,7,7,6,4,5,6,1.0,7.0,1.0,7.0,1.0,7.0,7.0,5,4,4,3,4
147,6,6,6,5,7,4,2,2,4,2,6,6,6,4,4,5,3,4,4,3.0,5.0,2.0,5.0,3.0,6.0,4.0,7,7,7,7,7
