student_id,Item_Appraisals_PRE_Q1,Item_Appraisals_PRE_Q2,Item_Appraisals_PRE_Q3,Item_Appraisals_PRE_Q4,Item_Appraisals_PRE_Q5,Item_Appraisals_PRE_Q6,item_GHSQ_PRE_Q1,item_GHSQ_PRE_Q2,item_GHSQ_PRE_Q3,item_GHSQ_PRE_Q4,item_GHSQ_PRE_Q5,item_GHSQ_PRE_Q6,item_GHSQ_PRE_Q7,item_GHSQ_PRE_Q8,item_GHSQ_PRE_Q9,item_GHSQ_PRE_Q10,Item_Appraisals_POST_Q1,Item_Appraisals_POST_Q2,Item_Appraisals_POST_Q3,Item_Appraisals_POST_Q4,Item_Appraisals_POST_Q5,Item_Appraisals_POST_Q6,item_GHSQ_POST_Q1,item_GHSQ_POST_Q2,item_GHSQ_POST_Q3,item_GHSQ_POST_Q4,item_GHSQ_POST_Q5,item_GHSQ_POST_Q6,item_GHSQ_POST_Q7,item_GHSQ_POST_Q8,item_GHSQ_POST_Q9,item_GHSQ_POST_Q10
255,D,D,D,E,D,B,1,6,7,2,5,2,6,1,3,3,D,D,D,E,D,B,1,6,7,2,5,2,6,1,3,3
257,B,D,C,E,B,A,1,6,2,1,7,1,3,1,4,3,B,D,C,E,B,A,1,6,2,1,7,1,3,1,4,3
258,E,D,B,E,D,C,1,5,6,2,3,2,6,1,4,3,E,D,B,E,D,C,1,5,6,2,4,2,6,1,4,3
260,C,E,E,E,E,C,1,2,3,1,1,1,2,1,7,1,C,E,E,E,E,C,1,2,4,1,3,1,3,1,6,1
261,B,D,B,E,B,A,6,5,5,1,3,2,5,1,4,2,B,D,B,E,B,A,6,5,5,1,3,2,5,1,4,2
264,A,D,A,E,A,A,1,3,3,1,3,3,5,1,5,3,A,D,A,E,A,A,1,3,3,1,3,3,5,1,5,3
267,B,D,B,E,B,A,6,5,4,2,3,2,4,1,3,3,B,D,B,E,B,B,6,5,4,2,4,2,4,1,3,3
270,A,A,A,E,A,A,1,5,7,3,7,3,7,1,1,3,A,A,A,E,A,A,1,5,7,3,7,3,7,1,1,3
271,B,D,B,E,B,A,1,6,7,2,5,1,4,1,2,3,B,D,B,E,B,A,1,6,7,2,5,1,4,1,2,3
277,A,D,A,E,A,A,1,3,1,1,2,1,1,1,6,1,A,D,A,E,A,A,1,3,1,1,2,1,1,1,6,1
282,B,D,B,E,B,A,6,5,5,2,4,2,6,1,1,3,B,D,B,E,B,A,6,6,5,2,5,3,6,1,1,3
288,A,D,A,E,A,A,1,6,2,1,3,1,1,1,6,1,B,D,B,E,B,B,1,6,2,1,4,1,1,1,5,2
289,B,C,C,E,C,A,2,4,6,3,7,3,5,1,2,3,B,D,C,E,C,B,2,4,6,3,7,3,5,1,2,3
293,A,D,A,E,A,A,1,3,1,2,6,5,3,7,6,4,A,D,A,E,A,A,1,2,1,1,7,6,3,7,5,4
294,B,D,B,E,B,A,6,6,3,1,5,2,5,1,4,2,B,D,B,E,B,A,6,6,3,1,5,2,5,1,4,1
