student_id,Item_Appraisals_PRE_Q1,Item_Appraisals_PRE_Q2,Item_Appraisals_PRE_Q3,Item_Appraisals_PRE_Q4,Item_Appraisals_PRE_Q5,Item_Appraisals_PRE_Q6,item_GHSQ_PRE_Q1,item_GHSQ_PRE_Q2,item_GHSQ_PRE_Q3,item_GHSQ_PRE_Q4,item_GHSQ_PRE_Q5,item_GHSQ_PRE_Q6,item_GHSQ_PRE_Q7,item_GHSQ_PRE_Q8,item_GHSQ_PRE_Q9,item_GHSQ_PRE_Q10,Item_Appraisals_POST_Q1,Item_Appraisals_POST_Q2,Item_Appraisals_POST_Q3,Item_Appraisals_POST_Q4,Item_Appraisals_POST_Q5,Item_Appraisals_POST_Q6,item_GHSQ_POST_Q1,item_GHSQ_POST_Q2,item_GHSQ_POST_Q3,item_GHSQ_POST_Q4,item_GHSQ_POST_Q5,item_GHSQ_POST_Q6,item_GHSQ_POST_Q7,item_GHSQ_POST_Q8,item_GHSQ_POST_Q9,item_GHSQ_POST_Q10
1,C,C,C,E,C,C,1,5,4,1,7,2,6,1,3,3,C,C,C,E,C,C,1,5,4,1,7,2,6,1,3,4
3,E,E,E,E,E,C,1,6,7,1,7,3,4,1,1,6,E,E,E,E,E,C,1,7,7,1,7,2,3,1,1,6
6,E,E,E,E,E,C,1,6,7,1,7,3,5,1,1,3,E,E,D,E,E,C,1,6,7,1,7,4,3,1,1,3
7,A,D,A,E,A,A,1,6,5,1,6,2,3,1,4,3,B,D,B,E,C,B,1,6,5,1,5,2,3,1,5,3
8,B,D,B,E,B,A,2,4,4,2,6,5,5,1,4,4,D,E,E,E,D,C,1,1,1,1,1,1,1,1,7,1
10,E,E,E,E,E,C,1,4,7,2,5,2,6,1,1,3,D,E,D,E,D,C,1,4,7,2,5,2,6,1,1,3
12,E,E,D,E,E,C,1,6,7,2,7,3,5,1,1,4,D,D,C,E,D,C,1,6,7,2,7,3,5,1,1,4
14,B,E,E,E,B,A,1,5,6,1,5,2,3,1,2,4,D,E,E,E,D,C,1,4,4,1,2,1,2,1,5,2
19,D,C,C,E,E,C,2,4,5,1,6,3,5,1,1,4,D,C,C,E,D,C,1,5,6,1,6,3,5,1,1,3
20,E,E,E,E,E,C,1,6,5,2,4,1,5,1,3,3,E,E,E,E,E,C,1,6,5,2,5,1,5,1,3,3
21,E,E,E,E,E,C,1,6,5,2,6,3,5,1,2,3,E,E,E,E,E,C,1,5,4,2,3,2,3,1,4,2
22,A,D,A,E,A,A,1,6,1,1,7,3,4,1,4,2,C,D,B,E,C,B,1,6,1,1,7,4,5,1,3,2
23,E,E,E,E,E,C,1,7,7,2,4,1,4,1,1,3,E,E,E,E,E,C,1,7,6,2,3,1,3,1,2,2
24,E,E,E,E,E,C,1,4,6,2,7,3,6,1,2,3,D,E,D,E,D,C,1,4,6,2,7,3,6,1,2,3
25,A,D,A,E,A,A,1,6,7,2,7,3,5,1,1,4,C,D,B,E,C,B,1,6,7,2,7,4,5,1,2,3
28,A,D,A,E,A,A,1,5,7,1,7,3,5,1,3,2,B,D,C,E,C,B,1,5,7,1,7,3,5,1,3,2
30,D,C,C,E,C,C,2,4,3,1,4,2,5,1,5,3,D,D,C,E,C,C,2,5,4,1,5,2,6,1,4,5
31,D,E,E,E,D,C,1,5,2,1,4,2,2,1,6,3,D,E,D,E,D,C,1,6,2,1,5,2,2,1,5,4
