student_id,item_Family_Q1,item_Family_Q2,item_Family_Q3,item_Family_Q4,item_Family_Q5,item_Family_Q6,item_Family_Q7,item_Family_Q8,item_Family_Q9,item_Family_Q10,item_Family_Q11,item_Family_Q12,item_Family_Q13,item_Family_Q14,item_Family_Q15,item_Family_Q16,item_Family_Q17,item_Family_Q18,item_Family_Q19,item_Event_Q1,item_Event_Q2,item_Event_Q3,item_Event_Q4,item_Event_Q5,item_Event_Q6,item_Event_Q7,item_Scenario1_Q1,item_Scenario1_Q2,item_Scenario1_Q3,item_Scenario1_Q4,item_Scenario1_Q5
3,6,6,6,7,7,4,3,2,3,2,6,6,5,5,5,6,2,4,5,1,7,2,6,2,6,5,3,2,3,3,6
4,7,6,7,6,7,3,1,2,2,1,6,6,5,4,4,5,2,5,4,1,7,1,6,2,7,6,3,2,2,3,6
14,7,6,6,7,7,3,1,2,1,2,6,6,5,4,4,5,3,5,4,2,6,1,7,2,7,6,3,2,2,2,6
27,4,2,1,3,3,6,6,7,7,6,1,1,1,7,7,7,5,3,6,1,7,1,7,1,7,7,2,1,1,1,7
34,6,5,5,4,5,6,4,5,6,5,5,4,3,6,5,6,4,5,6,2,6,2,6,3,6,5,3,2,3,3,6
50,7,6,6,7,7,2,1,2,1,2,6,5,6,3,2,4,3,4,4,2,6,1,5,2,5,4,3,2,3,3,5
57,6,5,6,7,6,4,2,2,3,2,6,6,6,4,4,5,3,4,4,2,6,2,7,2,7,5,3,2,3,3,6
62,6,5,5,6,7,4,2,2,3,2,5,5,4,4,4,5,3,4,4,1,7,2,6,2,6,5,3,2,2,2,6
63,6,4,5,5,6,7,5,6,7,6,4,2,2,6,7,6,4,7,6,1,7,1,7,1,7,6,3,2,2,2,6
77,6,5,5,6,6,4,2,2,3,2,6,5,5,4,4,5,3,5,4,3,5,2,4,3,4,2,4,2,3,3,6
121,6,4,5,6,5,6,5,6,7,6,4,3,3,6,7,7,4,6,5,2,7,1,7,2,7,6,3,2,1,3,6
122,6,4,3,5,4,6,5,6,5,6,3,2,2,6,6,7,4,5,6,2,7,1,7,1,6,5,3,2,3,2,6
146,6,6,5,6,7,4,2,2,3,2,6,6,5,4,3,5,3,5,4,1,7,2,6,3,6,4,3,2,3,2,6
157,4,3,2,2,4,6,5,6,5,6,3,2,2,6,6,7,5,4,5,1,7,1,7,1,7,7,2,1,1,2,7
172,5,4,3,5,4,6,5,6,6,5,3,2,2,6,7,7,4,5,6,1,7,1,7,1,7,6,2,1,1,1,7
177,5,4,5,6,5,6,2,5,4,3,5,4,4,5,4,6,4,5,5,1,7,2,6,2,7,6,3,2,2,3,6
182,6,5,5,6,6,4,2,5,5,4,5,4,4,6,5,6,4,5,5,2,6,1,7,1,7,5,4,2,3,3,6
191,6,5,4,5,4,2,2,2,2,2,5,3,4,6,6,6,5,5,5,2,6,1,7,1,7,6,3,2,2,2,6
207,6,5,4,6,5,4,2,2,4,3,5,4,4,6,6,7,3,5,6,2,6,2,7,3,7,5,4,2,3,3,6
213,4,4,3,4,5,6,3,5,6,4,3,2,2,6,6,7,5,5,6,1,7,1,6,2,7,4,3,2,2,3,7
217,4,3,2,3,4,6,5,6,7,5,3,1,2,7,6,7,5,6,5,1,7,1,7,2,7,6,3,2,2,3,6
222,6,5,5,6,6,4,2,2,2,2,6,6,5,5,4,5,4,4,4,2,6,2,6,2,6,5,3,2,3,3,6
232,3,2,2,4,4,6,5,6,6,5,2,1,1,6,7,7,5,4,6,1,7,1,7,1,7,6,3,2,2,2,6
241,6,5,6,7,7,4,1,2,2,3,6,6,5,3,3,4,2,4,3,3,5,2,6,4,4,2,4,3,2,2,6
245,6,4,3,5,6,5,4,4,5,4,5,4,3,6,5,6,4,5,4,3,6,2,6,3,7,5,3,2,3,2,6
256,6,5,6,6,6,4,2,2,4,3,5,4,5,5,5,5,4,5,4,3,6,2,6,3,5,4,4,3,3,4,6
267,6,4,5,6,6,3,2,2,3,2,5,3,5,5,4,5,4,5,4,1,7,2,6,2,7,3,4,2,2,3,6
