student_id,item_Family_Q1,item_Family_Q2,item_Family_Q3,item_Family_Q4,item_Family_Q5,item_Family_Q6,item_Family_Q7,item_Family_Q8,item_Family_Q9,item_Family_Q10,item_Family_Q11,item_Family_Q12,item_Family_Q13,item_Family_Q14,item_Family_Q15,item_Family_Q16,item_Family_Q17,item_Family_Q18,item_Family_Q19,item_Event_Q1,item_Event_Q2,item_Event_Q3,item_Event_Q4,item_Event_Q5,item_Event_Q6,item_Event_Q7,item_Scenario1_Q1,item_Scenario1_Q2,item_Scenario1_Q3,item_Scenario1_Q4,item_Scenario1_Q5
13,6.0,4.0,5.0,6.0,5.0,6.0,2.0,5.0,6.0,4.0,4.0,3.0,4.0,6.0,6.0,7.0,5.0,6.0,6.0,2.0,3.0,3.0,5.0,2.0,6.0,7.0,7.0,7.0,2.0,7.0,7.0
19,6.0,6.0,5.0,6.0,6.0,4.0,2.0,2.0,3.0,2.0,6.0,6.0,5.0,4.0,4.0,5.0,3.0,5.0,4.0,2.0,6.0,1.0,7.0,2.0,6.0,5.0,7.0,7.0,6.0,7.0,6.0
20,6.0,5.0,6.0,6.0,7.0,4.0,2.0,2.0,2.0,2.0,7.0,7.0,6.0,4.0,2.0,4.0,3.0,5.0,4.0,4.0,6.0,3.0,4.0,3.0,5.0,4.0,7.0,7.0,6.0,6.0,5.0
32,4.0,3.0,2.0,3.0,4.0,6.0,4.0,5.0,6.0,5.0,3.0,2.0,1.0,6.0,7.0,6.0,4.0,5.0,5.0,1.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
46,6.0,5.0,5.0,6.0,7.0,4.0,2.0,2.0,3.0,2.0,6.0,6.0,5.0,5.0,4.0,6.0,4.0,5.0,5.0,2.0,5.0,1.0,6.0,3.0,5.0,4.0,7.0,7.0,6.0,7.0,6.0
56,6.0,5.0,5.0,6.0,7.0,3.0,2.0,2.0,3.0,2.0,7.0,7.0,6.0,2.0,2.0,3.0,1.0,4.0,3.0,2.0,6.0,2.0,5.0,3.0,5.0,4.0,7.0,7.0,6.0,6.0,5.0
59,6.0,6.0,6.0,7.0,7.0,4.0,2.0,2.0,3.0,3.0,6.0,6.0,6.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,6.0,2.0,7.0,2.0,7.0,6.0,7.0,7.0,2.0,7.0,6.0
60,5.0,4.0,3.0,4.0,5.0,6.0,5.0,6.0,7.0,5.0,4.0,2.0,3.0,6.0,7.0,6.0,4.0,5.0,5.0,1.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
79,5.0,4.0,3.0,4.0,5.0,6.0,5.0,6.0,7.0,5.0,4.0,2.0,3.0,6.0,5.0,7.0,4.0,6.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,6.0,7.0,7.0,6.0,7.0,6.0
99,6.0,6.0,5.0,6.0,7.0,3.0,1.0,2.0,2.0,2.0,6.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,2.0,6.0,2.0,5.0,3.0,5.0,4.0,7.0,7.0,6.0,6.0,6.0
106,6.0,6.0,5.0,6.0,6.0,4.0,2.0,2.0,3.0,2.0,6.0,6.0,5.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,6.0,2.0,5.0,3.0,4.0,3.0,7.0,7.0,6.0,6.0,5.0
107,6.0,6.0,5.0,6.0,6.0,4.0,2.0,2.0,3.0,2.0,6.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,6.0,2.0,5.0,3.0,4.0,3.0,7.0,7.0,6.0,6.0,5.0
111,6.0,5.0,5.0,6.0,6.0,4.0,2.0,2.0,5.0,3.0,5.0,4.0,4.0,6.0,5.0,6.0,3.0,5.0,4.0,2.0,6.0,2.0,5.0,2.0,6.0,4.0,7.0,7.0,6.0,6.0,7.0
118,6.0,6.0,7.0,7.0,6.0,3.0,1.0,2.0,2.0,1.0,6.0,7.0,6.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,5.0,2.0,6.0,4.0,5.0,4.0,7.0,7.0,5.0,6.0,5.0
126,6.0,5.0,5.0,6.0,7.0,4.0,1.0,2.0,2.0,2.0,6.0,6.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,1.0,7.0,2.0,6.0,2.0,6.0,5.0,7.0,7.0,6.0,7.0,6.0
141,7.0,6.0,5.0,7.0,6.0,4.0,1.0,2.0,1.0,2.0,6.0,5.0,6.0,4.0,4.0,5.0,2.0,5.0,3.0,2.0,7.0,1.0,6.0,3.0,5.0,4.0,7.0,6.0,5.0,6.0,5.0
143,6.0,4.0,3.0,5.0,5.0,6.0,4.0,6.0,7.0,5.0,4.0,2.0,2.0,6.0,7.0,7.0,5.0,6.0,6.0,2.0,7.0,1.0,7.0,1.0,7.0,6.0,7.0,7.0,6.0,7.0,7.0
168,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
