student_id,item_Belief_Q1,item_Belief_Q2,item_Belief_Q3,item_Perception_Q4,item_Perception_Q5,item_Perception_Q6,item_Perception_Q7,item_Perception_Q8,item_Perception_Q9,item_Perception_Q10,item_Perception_Q11,item_Perception_Q12
1,5,3,5,2,1,6,6,6,1,3,1,0
4,4,5,3,2,1,6,5,5,1,3,1,0
5,5,3,6,1,1,6,6,6,1,2,1,0
6,4,3,5,2,1,6,6,5,1,1,1,0
7,4,5,4,2,1,5,5,5,1,3,1,0
8,5,3,5,3,2,6,5,6,1,2,1,0
9,4,3,5,2,1,6,6,5,1,2,1,0
11,5,3,4,2,1,6,6,5,1,3,1,0
12,4,3,5,2,2,5,5,5,1,3,1,0
13,4,5,3,2,1,5,6,5,1,3,1,0
15,5,3,5,2,1,6,6,5,1,2,1,0
16,5,4,5,2,1,6,6,5,1,3,2,0
17,5,3,5,3,2,6,6,5,1,3,1,0
18,5,3,4,2,1,6,5,6,1,2,1,0
19,4,5,5,3,2,5,5,5,1,3,1,0
20,4,3,5,1,2,6,5,6,1,2,1,0
22,5,3,5,1,2,6,6,6,1,2,1,0
23,4,3,5,2,1,6,5,5,1,2,1,0
24,5,3,5,2,1,6,5,6,1,1,1,0
25,2,1,1,1,1,6,6,6,1,2,1,0
26,4,5,4,2,1,6,6,5,1,3,1,0
27,5,3,5,1,1,6,6,6,1,1,1,0
28,4,3,5,1,1,6,6,6,1,2,1,0
29,4,3,5,1,1,6,5,5,1,2,1,0
30,4,5,4,3,2,6,5,6,1,2,2,0
31,5,3,5,1,1,6,6,6,1,2,1,0
32,5,3,5,1,1,6,6,6,1,2,1,0
33,4,4,5,2,1,6,5,5,1,2,1,0
34,4,3,5,2,1,6,5,5,1,2,1,0
35,5,3,5,2,1,6,6,5,1,2,1,0
37,4,3,5,2,1,5,5,5,1,3,1,0
38,4,4,5,2,1,6,5,5,1,3,1,0
39,4,3,5,2,1,6,5,6,1,2,1,0
40,5,4,5,2,1,6,6,5,1,1,1,0
41,5,3,5,2,1,6,5,6,1,2,1,0
43,5,3,5,1,1,6,6,6,1,2,1,0
53,4,3,5,2,1,5,5,6,1,2,1,0
64,5,3,5,2,1,6,5,6,1,2,1,0
66,4,4,5,2,1,6,6,5,1,3,1,0
67,5,2,5,2,1,6,5,6,1,2,1,0
68,5,2,5,1,1,6,6,6,1,2,1,0
72,4,4,5,2,1,6,5,5,1,2,1,0
73,4,5,4,2,1,6,5,5,1,3,2,0
