student_id,item_Family_Q1,item_Family_Q2,item_Family_Q3,item_Family_Q4,item_Family_Q5,item_Family_Q6,item_Family_Q7,item_Family_Q8,item_Family_Q9,item_Family_Q10,item_Family_Q11,item_Family_Q12,item_Family_Q13,item_Family_Q14,item_Family_Q15,item_Family_Q16,item_Family_Q17,item_Family_Q18,item_Family_Q19,item_Event_Q1,item_Event_Q2,item_Event_Q3,item_Event_Q4,item_Event_Q5,item_Event_Q6,item_Event_Q7,item_Scenario1_Q1,item_Scenario1_Q2,item_Scenario1_Q3,item_Scenario1_Q4,item_Scenario1_Q5
14,6,6,5,7,7,4,2,2,3,2,6,5,6,4,4,5,3,5,4,2,6,2,5,3,5,4,4,3,3,3,6
27,5,4,4,4,4,6,6,5,6,5,3,2,2,6,6,7,5,5,6,1,7,1,7,1,7,6,2,1,1,1,7
57,7,6,6,7,7,3,1,2,2,1,7,6,7,4,3,5,3,4,5,1,7,2,6,2,7,5,3,2,3,3,6
62,6,5,4,6,5,6,4,5,6,5,4,2,3,6,5,7,4,5,6,2,7,1,7,1,7,5,3,1,2,2,7
63,6,4,5,4,5,6,4,5,6,5,5,2,3,6,6,6,4,5,6,2,7,1,7,1,7,6,5,2,2,3,7
77,6,6,5,7,6,4,1,2,2,2,6,5,5,4,4,5,4,5,4,2,6,3,6,2,5,4,4,3,3,3,6
121,6,6,5,6,7,4,2,2,3,2,6,5,6,5,6,7,5,6,5,2,7,1,7,1,7,6,3,2,2,2,6
122,6,4,5,5,6,6,5,5,6,5,4,2,3,6,6,7,4,5,6,1,7,1,7,1,7,6,3,2,2,2,7
172,4,2,1,3,4,6,7,6,7,7,2,1,1,7,7,7,6,6,7,1,7,1,7,1,7,7,2,1,1,1,7
177,6,5,4,6,5,6,6,2,7,5,4,4,3,6,5,6,5,6,7,1,7,1,7,1,7,7,3,2,1,2,6
182,6,5,4,6,5,5,2,2,4,3,5,4,4,6,5,6,4,5,6,1,7,1,7,1,7,6,3,2,2,2,7
