student_id,Item_Appraisals_PRE_Q1,Item_Appraisals_PRE_Q2,Item_Appraisals_PRE_Q3,Item_Appraisals_PRE_Q4,Item_Appraisals_PRE_Q5,Item_Appraisals_PRE_Q6,item_GHSQ_PRE_Q1,item_GHSQ_PRE_Q2,item_GHSQ_PRE_Q3,item_GHSQ_PRE_Q4,item_GHSQ_PRE_Q5,item_GHSQ_PRE_Q6,item_GHSQ_PRE_Q7,item_GHSQ_PRE_Q8,item_GHSQ_PRE_Q9,item_GHSQ_PRE_Q10,Item_Appraisals_POST_Q1,Item_Appraisals_POST_Q2,Item_Appraisals_POST_Q3,Item_Appraisals_POST_Q4,Item_Appraisals_POST_Q5,Item_Appraisals_POST_Q6,item_GHSQ_POST_Q1,item_GHSQ_POST_Q2,item_GHSQ_POST_Q3,item_GHSQ_POST_Q4,item_GHSQ_POST_Q5,item_GHSQ_POST_Q6,item_GHSQ_POST_Q7,item_GHSQ_POST_Q8,item_GHSQ_POST_Q9,item_GHSQ_POST_Q10
30,D,C,C,E,C,C,2.0,4.0,3.0,1.0,4.0,2.0,5.0,1.0,5.0,3.0,D,D,C,E,C,C,2.0,5.0,4.0,1.0,5.0,2.0,6.0,1.0,4.0,5.0
31,D,E,E,E,D,C,1.0,5.0,2.0,1.0,4.0,2.0,2.0,1.0,6.0,3.0,D,E,D,E,D,C,1.0,6.0,2.0,1.0,5.0,2.0,2.0,1.0,5.0,4.0
45,A,D,A,E,A,A,1.0,6.0,2.0,1.0,3.0,2.0,5.0,1.0,3.0,2.0,D,E,D,E,D,B,1.0,6.0,2.0,1.0,3.0,2.0,5.0,1.0,4.0,2.0
63,A,D,A,E,A,A,4.0,2.0,6.0,1.0,7.0,1.0,5.0,1.0,3.0,2.0,B,D,B,E,B,B,5.0,3.0,7.0,1.0,7.0,2.0,6.0,1.0,1.0,4.0
110,E,E,E,E,E,C,6.0,7.0,5.0,1.0,7.0,3.0,5.0,1.0,2.0,4.0,E,E,E,E,E,C,6.0,7.0,4.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0
113,E,E,E,E,E,C,1.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,6.0,3.0,E,E,E,E,E,C,1.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,5.0,3.0
117,E,E,E,E,E,C,1.0,5.0,6.0,2.0,7.0,2.0,6.0,1.0,1.0,3.0,E,E,D,E,D,C,1.0,4.0,5.0,2.0,5.0,2.0,5.0,1.0,1.0,3.0
125,A,D,A,E,A,A,1.0,6.0,7.0,2.0,7.0,3.0,6.0,1.0,1.0,4.0,C,D,C,E,D,C,1.0,6.0,7.0,2.0,7.0,3.0,6.0,1.0,1.0,4.0
131,A,E,A,E,A,A,3.0,7.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,D,E,B,E,D,C,3.0,7.0,5.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0
145,A,D,A,E,A,A,1.0,7.0,6.0,1.0,6.0,4.0,3.0,1.0,3.0,6.0,D,E,D,E,D,C,1.0,7.0,6.0,1.0,6.0,5.0,3.0,1.0,4.0,6.0
148,B,D,B,E,B,A,1.0,6.0,5.0,1.0,4.0,3.0,5.0,1.0,3.0,2.0,D,D,B,E,D,B,1.0,6.0,5.0,1.0,2.0,1.0,4.0,1.0,6.0,2.0
155,E,D,D,E,E,C,1.0,5.0,5.0,2.0,5.0,2.0,6.0,1.0,3.0,3.0,D,D,B,E,D,C,1.0,6.0,6.0,2.0,5.0,2.0,6.0,1.0,3.0,3.0
169,A,D,A,E,A,A,5.0,7.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,4.0,E,E,A,E,E,C,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,3.0
180,A,D,A,E,A,A,6.0,5.0,4.0,2.0,5.0,2.0,6.0,1.0,2.0,2.0,D,E,B,E,C,B,6.0,5.0,4.0,2.0,5.0,2.0,6.0,1.0,2.0,2.0
188,B,D,C,E,C,C,1.0,3.0,1.0,1.0,4.0,3.0,2.0,1.0,6.0,1.0,B,D,C,E,C,B,1.0,4.0,1.0,1.0,4.0,2.0,3.0,1.0,6.0,1.0
217,A,D,A,E,A,A,1.0,5.0,3.0,1.0,6.0,4.0,4.0,1.0,4.0,3.0,C,D,B,E,C,B,1.0,5.0,3.0,1.0,6.0,4.0,4.0,1.0,4.0,3.0
231,D,D,C,E,D,C,7.0,4.0,6.0,2.0,6.0,1.0,5.0,1.0,2.0,3.0,D,D,C,E,D,C,7.0,5.0,6.0,2.0,6.0,1.0,5.0,1.0,2.0,3.0
239,B,E,A,E,B,A,1.0,7.0,6.0,2.0,6.0,3.0,7.0,1.0,2.0,4.0,D,E,B,E,C,B,1.0,7.0,6.0,2.0,5.0,3.0,7.0,1.0,6.0,4.0
242,A,D,A,E,A,A,3.0,5.0,4.0,1.0,7.0,2.0,7.0,1.0,4.0,5.0,D,D,B,E,D,B,3.0,5.0,4.0,1.0,7.0,2.0,7.0,1.0,3.0,5.0
246,E,E,E,E,E,C,1.0,6.0,2.0,1.0,7.0,4.0,6.0,1.0,3.0,5.0,D,E,D,E,D,C,1.0,6.0,2.0,1.0,7.0,4.0,6.0,1.0,3.0,5.0
257,B,D,B,E,B,A,1.0,6.0,2.0,1.0,4.0,2.0,6.0,1.0,4.0,5.0,D,E,B,E,D,C,1.0,6.0,2.0,1.0,4.0,2.0,5.0,1.0,4.0,5.0
263,E,E,E,E,E,D,2.0,5.0,3.0,2.0,3.0,2.0,4.0,1.0,6.0,3.0,D,E,D,E,D,C,2.0,5.0,4.0,2.0,4.0,3.0,5.0,1.0,5.0,4.0
291,D,C,C,E,D,C,1.0,4.0,5.0,2.0,6.0,2.0,4.0,1.0,5.0,3.0,D,D,C,E,D,C,1.0,5.0,6.0,2.0,5.0,2.0,3.0,1.0,6.0,3.0
304,B,D,B,E,B,B,3.0,7.0,5.0,1.0,5.0,4.0,6.0,1.0,2.0,6.0,D,E,C,E,D,C,1.0,7.0,3.0,1.0,1.0,1.0,2.0,1.0,7.0,5.0
307,A,D,A,E,A,A,1.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,7.0,2.0,B,D,B,E,B,B,1.0,3.0,1.0,1.0,4.0,2.0,2.0,1.0,7.0,2.0
310,A,D,A,E,A,A,5.0,7.0,4.0,1.0,7.0,3.0,4.0,1.0,1.0,6.0,D,D,B,E,D,B,5.0,7.0,3.0,1.0,7.0,3.0,4.0,1.0,2.0,6.0
313,A,D,A,E,A,A,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,7.0,3.0,C,E,D,E,C,B,1.0,3.0,4.0,1.0,5.0,3.0,4.0,1.0,6.0,4.0
316,E,C,C,E,D,C,1.0,6.0,2.0,1.0,7.0,2.0,3.0,1.0,4.0,3.0,D,D,C,E,C,B,1.0,6.0,2.0,1.0,7.0,2.0,3.0,1.0,3.0,3.0
321,D,E,E,E,E,C,1.0,6.0,2.0,1.0,4.0,2.0,2.0,1.0,5.0,3.0,D,E,E,E,E,C,1.0,7.0,2.0,1.0,4.0,2.0,2.0,1.0,4.0,4.0
326,B,D,B,E,B,A,1.0,5.0,3.0,1.0,3.0,1.0,3.0,1.0,5.0,2.0,D,D,B,E,D,B,1.0,6.0,4.0,1.0,3.0,1.0,3.0,1.0,5.0,3.0
329,D,E,A,E,B,A,1.0,5.0,6.0,2.0,5.0,3.0,5.0,3.0,1.0,3.0,E,E,A,E,E,C,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,6.0,1.0
330,E,D,E,E,E,C,6.0,5.0,6.0,3.0,2.0,1.0,4.0,1.0,5.0,2.0,E,D,E,E,E,C,6.0,5.0,6.0,2.0,1.0,1.0,4.0,1.0,5.0,2.0
342,A,C,A,E,A,A,1.0,7.0,4.0,1.0,7.0,4.0,6.0,1.0,2.0,6.0,C,E,D,E,D,C,1.0,7.0,4.0,1.0,7.0,4.0,6.0,1.0,2.0,6.0
