student_id,item_Belief_Q1,item_Belief_Q2,item_Belief_Q3,item_Perception_Q4,item_Perception_Q5,item_Perception_Q6,item_Perception_Q7,item_Perception_Q8,item_Perception_Q9,item_Perception_Q10,item_Perception_Q11,item_Perception_Q12,comfort_level,item_MsDavies_Q1,item_MsDavies_Q2,item_MsDavies_Q3,would_drop,item_First_Day_Q1,item_First_Day_Q2,item_First_Day_Q3,item_First_Day_Q4,item_First_Day_Q5,item_First_Day_Q6,teacher_rating,item_MsDavies_Q4,item_MsDavies_Q5,item_MsDavies_Q6,item_MsDavies_Q7,rating,item_Belief_Q4,item_Belief_Q5,msDavies_fixedMindset,msDavies_equality,msDavies_help,msDavies_improvements,msDavies_positiveAttitude,ms_davies_reaction_1,ms_davies_reaction_2,ms_davies_reaction_3,ms_davies_reaction_4,ms_davies_reaction_5,item_MsDavies_fixedMindset,item_MsDavies_avoidQuestions,item_MsDavies_gradesFinal,item_MsDavies_earlySuccessPredictsFuture,item_MsDavies_favorsStarStudents,fixed_mindset_score,growth_mindset_score,equity_score,relationship_score,item_Perception,item_overall_impression,item_red_flags,item_likelihood_of_success,item_potential_emotional_impact,item_MsDavies_fixed_mindset,item_MsDavies_avoid_questions,item_MsDavies_no_growth,item_MsDavies_favors_stars,item_Teacher_Fixed,item_Teacher_NoQs,item_Teacher_GradesFinal,item_Teacher_EarlySuccessPredicts,item_Teacher_StarStudentFocus,item_Teacher_MemorizationFocus,item_MsDavies_Q8,ms_davies_rating,fixed_mindset,unfair,unhelpful,item_Belief_New_Q1,item_Belief_New_Q2,item_Belief_New_Q3,class_appeal,item_Belief_MsDavies,item_teacher_Belief_Q1,item_teacher_Belief_Q2,item_teacher_Belief_Q3,likelihood_of_success,teacher_fixed_mindset_score,teacher_discourages_struggle_score,teacher_values_grades_over_learning_score,teacher_ability_predicts_future_score,teacher_prioritizes_talented_students_score,msDavies_rating,teacher_item_Belief_Q1,teacher_item_Belief_Q2,teacher_item_Belief_Q3,item_MsDavies_growth_mindset,item_fixed_mindset,item_discourages_effort,item_performance_focus,item_ability_grouping,item_low_expectations,item_like_math,item_work_hard_math,item_understand_ask_question,item_grade_final,item_test_important,item_good_beginning_good_end,item_star_students_success,teacher_Fixed_Score,teacher_Discourage_Score,teacher_Star_Score,teacher_No_Question_Score,teacher_Final_Score,item_Rating_FirstImpression,item_Rating_FixedMindset,item_Rating_DiscouragingQuestions,item_Rating_Favoritism,performance_goals,entity_theory,helpless_response,ability_praise,low_effort_beliefs,item_msDavies_Q1,item_msDavies_Q2,item_msDavies_Q3,item_msDavies_Q4,item_msDavies_Q5,item_msDavies_Q6,item_msDavies_Q7,discourages_questions_score,fixed_grading_score,favoritism_stars_score,overall_rating,item_Frustration_Level,item_Boredom_Level,item_Anxiety_Level,item_Hope_Level,growth_mindset,effort_based_belief,importance_of_struggle,feedback_seeking,like_teacher,would_ask_questions,feels_welcome,feels_discouraged,thinks_success_possible,would_sign_up,annoyance_level,motivation_level,fixed_mindset_perception,growth_mindset_perception,self_efficacy,likelihood_of_asking_questions,likelihood_of_seeking_help,likelihood_of_feeling_discouraged,effort_belief_score,innate_ability_score,Ms.Davies_Rating,would_take_class,teacher_cares_about_students,teaching_style_effective,fairness_of_grading,fixed_mindset_endorsement,unhelpfulness_rating,unfairness_rating,discouragement_potential,ability_focused,discourages_questions,grades_final,no_makeups,early_predicts_later,focus_on_star_students,rating_MsDavies,helpfulness_MsDavies,anticipated_stress_level,effort_not_valued_score,belief_in_innate_talent_score,focus_on_grades_not_learning_score,effort_unnecessary,equality_of_opportunity,fixed_mindset_rating,lack_of_support_rating,teaching_style_concerns,item_Reaction_Q1,item_Reaction_Q2,item_Reaction_Q3,rating_teacher,skip_class,item_Davies_Q1,item_Davies_Q2,item_Davies_Q3,item_Davies_Q4,item_Davies_Q5,item_Davies_Q6,msDavies_Rating,optimism,fixed_mindset_agree,approachability,test_anxiety,motivation,item_Fixed_Mindset_Score,ms_davies_chance_of_success,teacher_fixed_mindset_strength,teacher_growth_mindset_strength,teacher_effort_belief_strength,teacher_question_belief_strength,teacher_mistake_belief_strength,teacher_performance_belief_strength,teacher_fairness_belief_strength,likelihood_success,likelihood_effort,willingness_ask_questions,confidence,hope,rating_Davies,rating_newTeacher,first_impression_score,discouraging_score,star_students_score,no_questions_score,final_grades_score,overall_feeling_score,item_GradeFrom1To10,item_MsDavies_Belief_Q1,item_MsDavies_Belief_Q2,item_MsDavies_Belief_Q3,fixed_mindset_alignment,effort_belief,equity_concerns,engagement_likelihood,overall_impression,item_Feeling,item_Belief_Q6,item_MsDavies_finalGrades,item_MsDavies_noImprovement,item_MsDavies_favoritism,item_MsDavies_memorization,question_asking_likelihood_score,study_motivation_score,item_ms_davies,rating_ms_davies,likelihood_of_enjoying_class
1,5,3,5,2,1,6,5,6,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,2,6,2,1,6,5,5,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,2,5,2,1,6,6,6,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,5,3,5,2,1,6,5,6,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,3,6,3,1,6,6,6,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,3,5,2,1,6,5,6,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,5,3,5,2,1,5,6,6,1,3,1,0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5,2,5,1,1,6,6,6,1,2,1,0,,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,5,2,5,2,1,5,6,5,1,2,1,0,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,5,2,5,1,1,6,6,6,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
