student_id,Item_Appraisals_PRE_Q1,Item_Appraisals_PRE_Q2,Item_Appraisals_PRE_Q3,Item_Appraisals_PRE_Q4,Item_Appraisals_PRE_Q5,Item_Appraisals_PRE_Q6,item_GHSQ_PRE_Q1,item_GHSQ_PRE_Q2,item_GHSQ_PRE_Q3,item_GHSQ_PRE_Q4,item_GHSQ_PRE_Q5,item_GHSQ_PRE_Q6,item_GHSQ_PRE_Q7,item_GHSQ_PRE_Q8,item_GHSQ_PRE_Q9,item_GHSQ_PRE_Q10,Item_Appraisals_POST_Q1,Item_Appraisals_POST_Q2,Item_Appraisals_POST_Q3,Item_Appraisals_POST_Q4,Item_Appraisals_POST_Q5,Item_Appraisals_POST_Q6,item_GHSQ_POST_Q1,item_GHSQ_POST_Q2,item_GHSQ_POST_Q3,item_GHSQ_POST_Q4,item_GHSQ_POST_Q5,item_GHSQ_POST_Q6,item_GHSQ_POST_Q7,item_GHSQ_POST_Q8,item_GHSQ_POST_Q9,item_GHSQ_POST_Q10
1,A,B,A,E,A,A,1,5,6,2,3,2,4,1,6,2,C,C,B,E,C,B,1,4,5,2,4,3,5,1,4,2
2,A,B,A,D,A,A,1,3,7,2,1,4,5,1,5,4,C,C,B,E,C,B,1,4,7,2,3,5,6,1,4,5
3,A,B,A,D,A,A,1,4,6,3,3,2,6,1,5,2,C,C,C,E,C,C,1,5,6,2,4,1,5,1,3,3
4,A,B,A,E,A,A,1,5,6,2,3,1,6,1,4,3,C,C,B,E,C,B,1,5,6,2,4,1,6,1,3,4
5,A,B,A,E,A,A,1,3,6,2,4,1,5,1,5,3,C,C,B,E,C,C,1,4,5,2,4,2,5,1,4,4
6,A,B,A,D,A,A,1,5,7,2,1,3,6,1,4,4,C,C,C,E,C,B,1,6,7,2,3,4,6,1,3,6
7,A,C,A,E,A,A,1,3,5,2,3,2,4,1,6,4,D,E,B,E,C,B,1,4,6,2,4,3,5,1,5,6
8,A,B,A,D,A,A,1,5,7,2,4,2,6,1,3,4,C,C,B,E,C,B,1,5,6,2,4,3,6,1,2,4
9,A,B,A,D,A,A,1,2,7,1,5,1,7,1,4,3,C,C,B,E,C,B,1,3,7,1,6,2,7,1,3,4
10,A,B,A,D,B,A,1,5,6,2,4,3,5,1,3,4,C,C,B,E,C,B,1,6,7,2,5,4,6,1,2,5
11,A,B,A,E,A,A,1,4,6,2,3,1,5,1,4,2,C,C,B,E,C,B,1,5,6,2,4,1,5,1,3,3
12,A,C,A,E,A,A,1,5,7,3,5,3,7,1,3,3,C,C,B,E,C,B,1,7,7,3,7,5,7,1,1,5
13,A,B,A,D,B,A,1,6,7,2,5,1,4,1,5,3,C,D,C,E,C,C,1,7,7,2,4,1,3,1,6,3
14,A,B,A,E,A,A,1,3,6,2,4,5,7,1,3,4,C,C,B,E,C,C,1,4,6,2,5,5,7,1,2,5
15,A,B,A,D,A,A,1,5,7,3,1,1,6,1,4,3,C,C,B,E,C,B,1,6,7,3,3,3,6,1,3,4
16,A,B,A,E,A,A,1,5,7,1,3,2,4,1,4,5,C,C,B,E,C,B,1,6,7,1,2,3,4,1,5,5
17,A,B,A,E,A,A,1,6,7,3,5,2,6,1,1,4,C,D,B,E,C,B,1,7,7,2,6,3,5,1,1,4
18,A,B,A,D,B,A,1,5,6,2,4,1,6,1,5,3,C,C,C,E,C,B,1,6,7,2,5,1,6,1,4,4
19,A,B,A,D,A,A,1,5,6,2,3,2,5,1,4,3,C,C,C,D,C,B,1,6,6,2,4,3,5,1,3,4
20,A,B,A,D,A,A,1,4,6,2,1,1,5,1,5,3,C,C,C,E,C,B,1,5,5,2,2,1,5,1,4,4
21,A,B,A,D,A,A,1,5,6,2,4,3,6,1,4,3,C,C,B,E,C,B,1,5,6,2,4,3,6,1,3,3
22,A,B,A,D,A,A,1,4,5,2,2,1,6,1,5,3,C,E,E,E,D,C,1,5,6,2,3,2,6,1,3,4
23,A,C,A,E,A,A,1,6,7,3,5,2,7,1,3,4,D,E,D,E,D,C,1,5,6,3,4,3,5,1,5,3
24,A,B,A,D,A,A,1,5,7,3,5,1,7,1,3,3,C,C,B,E,C,B,1,5,7,3,5,1,7,1,1,3
25,A,B,A,D,B,A,1,5,6,2,4,1,5,1,4,3,C,C,B,E,C,B,1,6,6,2,5,1,6,1,2,4
26,A,B,A,E,A,A,1,5,6,2,3,1,5,1,4,3,C,C,B,E,C,B,1,6,6,2,4,2,5,1,3,4
27,A,B,A,E,A,A,1,6,5,1,3,2,4,1,5,2,C,C,B,E,C,C,1,7,6,1,4,2,4,1,4,3
28,A,B,A,D,A,A,1,5,6,2,4,2,5,1,3,4,C,C,B,E,C,B,1,5,6,2,5,3,5,1,2,5
