student_id,item_Family_Q1,item_Family_Q2,item_Family_Q3,item_Family_Q4,item_Family_Q5,item_Family_Q6,item_Family_Q7,item_Family_Q8,item_Family_Q9,item_Family_Q10,item_Family_Q11,item_Family_Q12,item_Family_Q13,item_Family_Q14,item_Family_Q15,item_Family_Q16,item_Family_Q17,item_Family_Q18,item_Family_Q19,item_Event_Q1,item_Event_Q2,item_Event_Q3,item_Event_Q4,item_Event_Q5,item_Event_Q6,item_Event_Q7,item_Scenario1_Q1,item_Scenario1_Q2,item_Scenario1_Q3,item_Scenario1_Q4,item_Scenario1_Q5
13,6,5,4,6,7,5,2,4,4,2,6,4,6,5,4,5,4,5,5,3,5,2,6,3,6,5,7,7,6,6,7
19,6,5,5,5,6,4,2,2,3,3,5,5,5,4,4,5,2,4,3,1,7,2,6,2,7,5,7,7,6,6,5
20,5,4,4,6,6,6,2,5,5,4,5,4,4,5,4,6,4,5,5,2,6,1,7,2,7,6,7,7,6,7,7
59,6,6,5,6,7,4,2,2,3,2,6,6,5,3,3,4,3,4,4,2,6,1,7,2,6,5,7,7,6,7,6
60,5,4,3,6,5,6,2,5,5,4,4,2,3,6,6,7,5,6,7,1,7,1,7,1,7,7,7,7,6,7,7
79,6,5,5,6,7,4,2,2,3,2,6,7,6,3,3,4,3,5,4,2,6,1,5,2,6,5,7,6,5,6,6
111,6,5,4,5,5,6,2,5,6,4,4,3,3,6,6,5,5,6,5,3,6,2,6,2,7,5,7,7,1,7,6
118,6,6,5,6,7,4,2,2,3,2,6,6,6,3,3,4,3,4,4,2,6,2,6,2,5,5,7,7,6,6,5
126,6,5,4,5,6,5,2,2,4,2,5,5,4,5,5,6,4,6,5,2,7,1,6,2,7,6,7,7,6,7,6
168,1,1,2,1,3,7,6,7,7,7,1,1,1,7,7,7,6,5,6,1,7,1,7,1,7,7,7,7,7,7,7
215,6,5,4,5,6,5,2,1,5,4,5,4,3,6,5,7,4,5,6,2,6,1,7,2,6,5,7,7,6,7,6
265,7,6,6,7,7,1,1,2,2,1,6,6,6,4,3,4,3,5,4,2,7,1,6,2,6,5,7,7,2,6,6
325,5,4,3,4,4,6,5,6,6,5,4,2,3,6,7,7,5,5,6,1,7,1,7,1,7,6,7,7,1,7,7
327,6,5,5,6,6,4,2,2,3,3,5,5,4,5,4,5,3,5,4,1,7,2,6,2,6,4,7,7,6,6,6
355,5,4,3,5,4,6,4,5,6,6,4,2,3,6,7,7,6,5,6,1,7,1,7,1,7,7,7,7,7,7,7
373,6,5,5,7,6,3,2,2,3,2,5,4,5,4,3,5,3,4,4,2,6,1,7,1,7,6,7,7,6,6,6
409,4,4,3,5,4,6,5,5,6,4,3,2,2,6,6,7,5,6,7,1,7,1,7,2,7,6,7,7,6,7,7
410,6,5,5,6,6,4,2,2,3,2,5,5,5,5,5,6,4,5,5,3,5,2,6,3,5,4,7,7,6,7,6
424,7,6,6,7,6,2,1,2,4,2,6,6,6,3,2,4,3,4,4,1,7,1,6,2,6,5,7,7,6,7,6
463,5,3,2,4,4,6,5,6,7,5,4,2,1,6,7,7,5,6,7,1,7,1,7,1,7,7,7,7,7,7,6
476,7,6,6,7,6,4,2,2,3,2,6,5,5,5,6,6,4,4,5,1,7,2,7,1,7,6,7,7,6,7,6
530,5,2,1,3,4,7,5,6,7,6,1,1,1,7,7,7,6,4,7,1,7,1,7,1,7,7,7,7,1,7,7
567,3,2,1,3,3,6,5,6,7,6,1,1,2,7,7,6,5,6,7,1,7,1,7,1,7,6,7,7,1,7,7
569,6,5,4,5,5,6,4,6,7,6,4,2,3,6,7,7,5,6,7,2,7,1,7,1,7,7,7,7,2,7,7
573,6,5,4,6,7,5,2,2,4,3,6,6,5,5,4,6,4,5,5,2,7,1,7,2,6,6,7,7,6,7,6
581,6,6,5,5,6,4,2,2,3,2,5,4,5,5,4,5,4,4,4,1,7,2,6,2,6,4,6,7,5,6,6
621,6,5,4,6,6,5,3,2,3,4,5,4,5,6,6,7,4,5,6,2,6,1,7,2,7,5,7,7,6,7,6
622,6,5,5,6,6,4,2,2,3,2,5,4,5,5,6,6,4,5,5,1,7,1,7,1,7,6,7,7,6,6,6
627,6,5,4,6,6,4,1,2,2,3,5,5,6,5,4,6,3,4,5,2,6,2,5,3,5,4,7,7,2,6,6
668,6,5,5,6,7,4,3,2,3,2,5,4,4,5,5,6,4,5,4,2,7,1,6,1,7,6,7,7,2,6,6
716,6,5,4,5,6,6,5,6,5,5,4,2,3,6,6,7,5,6,7,1,7,1,7,1,7,6,7,7,6,7,7
768,3,1,2,3,4,6,6,5,6,6,3,1,2,7,7,7,7,5,7,1,7,1,7,1,7,7,7,7,6,7,7
770,2,1,1,2,4,7,6,5,6,7,3,2,1,6,7,7,5,6,6,1,7,2,7,1,7,6,7,7,1,7,6
771,4,2,1,3,3,7,6,7,6,7,2,1,1,7,7,7,5,6,7,1,7,1,7,1,7,7,7,7,6,7,7
776,6,4,5,5,4,6,6,7,6,7,3,2,2,7,7,7,7,7,7,1,7,1,7,1,7,7,7,7,7,7,7
874,4,3,2,4,5,6,5,6,6,5,3,2,2,6,6,7,5,5,7,1,7,1,7,1,7,6,7,7,6,7,7
925,6,6,5,6,7,4,2,2,3,2,6,5,5,4,4,5,3,5,4,3,5,2,6,3,5,4,7,7,6,6,5
926,6,6,6,7,6,2,1,2,2,2,6,6,6,3,2,4,3,4,4,1,7,1,7,2,7,6,7,7,6,7,7
32,6,4,3,5,5,6,4,5,6,5,5,4,4,6,6,7,4,5,5,3,6,2,5,2,6,4,7,7,2,6,6
46,6,6,6,7,7,3,1,2,2,2,6,5,6,5,4,5,4,5,4,2,7,1,6,3,5,4,7,7,6,6,5
56,7,6,5,7,6,4,2,2,4,3,6,5,5,4,3,5,4,5,4,2,6,1,7,2,7,6,7,7,6,7,6
99,6,5,5,6,6,4,2,2,3,2,5,4,5,4,4,5,3,4,4,1,7,2,6,2,6,5,7,7,6,6,7
106,6,6,5,6,7,4,2,2,2,2,6,6,6,3,3,4,2,4,3,2,6,2,5,4,4,3,7,7,6,6,5
107,7,6,6,7,7,2,1,2,1,1,6,6,5,4,3,4,3,4,4,3,6,2,5,3,6,5,7,7,6,6,6
141,6,5,4,5,5,4,2,2,3,2,5,4,4,5,5,6,4,5,4,1,7,1,7,1,7,6,7,7,6,6,7
143,6,5,5,6,7,2,1,2,1,2,6,6,5,4,4,5,4,3,5,1,7,1,7,1,7,6,7,7,6,7,6
185,7,6,5,7,6,4,2,2,4,3,5,4,5,6,6,7,5,6,7,1,7,2,7,1,7,7,7,7,2,7,6
187,5,4,3,4,5,6,4,5,6,5,3,2,1,6,7,6,5,5,6,1,7,1,7,1,7,6,7,7,1,7,7
190,6,5,4,5,6,4,2,2,3,2,5,4,5,6,5,6,4,5,5,1,7,1,7,1,7,6,7,7,6,7,6
192,7,6,6,7,7,3,1,2,2,1,5,5,6,4,4,5,2,4,3,1,7,2,6,3,6,4,7,7,6,7,6
227,5,4,5,6,5,4,2,2,3,3,6,5,5,4,4,5,4,5,4,1,7,2,6,2,6,5,7,7,6,7,6
239,6,5,5,6,6,3,1,2,2,1,5,5,5,4,3,4,2,4,3,3,5,2,5,3,4,3,6,7,5,6,6
254,6,5,5,6,7,4,2,2,3,2,6,6,5,4,4,5,3,4,4,2,6,2,5,3,5,4,6,7,5,6,5
287,6,5,4,5,6,4,2,2,3,2,6,6,5,4,4,5,3,4,4,2,6,2,6,2,7,6,7,7,2,6,6
289,6,6,5,6,7,4,2,1,3,2,6,5,5,5,5,6,4,5,4,2,6,2,6,3,7,5,7,7,6,7,6
