student_id,Item_Appraisals_PRE_Q1,Item_Appraisals_PRE_Q2,Item_Appraisals_PRE_Q3,Item_Appraisals_PRE_Q4,Item_Appraisals_PRE_Q5,Item_Appraisals_PRE_Q6,item_GHSQ_PRE_Q1,item_GHSQ_PRE_Q2,item_GHSQ_PRE_Q3,item_GHSQ_PRE_Q4,item_GHSQ_PRE_Q5,item_GHSQ_PRE_Q6,item_GHSQ_PRE_Q7,item_GHSQ_PRE_Q8,item_GHSQ_PRE_Q9,item_GHSQ_PRE_Q10,Item_Appraisals_POST_Q1,Item_Appraisals_POST_Q2,Item_Appraisals_POST_Q3,Item_Appraisals_POST_Q4,Item_Appraisals_POST_Q5,Item_Appraisals_POST_Q6,item_GHSQ_POST_Q1,item_GHSQ_POST_Q2,item_GHSQ_POST_Q3,item_GHSQ_POST_Q4,item_GHSQ_POST_Q5,item_GHSQ_POST_Q6,item_GHSQ_POST_Q7,item_GHSQ_POST_Q8,item_GHSQ_POST_Q9,item_GHSQ_POST_Q10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,D,B,E,B,A,1,6,7,3,6,2,5,1,2,4,B,D,B,E,B,A,1,6,7,3,6,2,5,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,D,B,E,D,B,1,6,5,2,7,3,4,1,3,4,C,D,C,E,D,C,1,6,5,2,7,3,4,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,D,A,E,A,A,6,5,7,2,4,1,6,1,3,3,A,D,A,E,A,A,6,5,7,2,5,1,6,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,D,A,E,A,A,1,6,7,2,5,3,6,1,1,4,B,D,B,E,B,B,1,7,7,2,6,3,6,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,A,D,A,E,A,A,2,5,6,1,7,3,6,1,4,3,B,D,B,E,B,B,1,6,6,1,7,2,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,A,D,A,E,A,A,6,7,4,2,5,1,5,1,3,2,B,D,B,E,B,B,6,7,4,2,6,1,5,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,A,D,A,E,A,A,2,4,6,1,5,3,5,1,7,3,B,D,B,E,B,B,2,5,6,1,6,4,5,1,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,B,D,B,E,B,A,1,7,2,1,4,2,3,1,5,3,B,D,B,E,B,A,1,7,2,1,5,2,3,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,B,D,B,E,B,A,1,6,5,2,6,4,7,1,2,3,B,D,B,E,B,A,1,6,5,2,6,4,7,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,A,D,A,E,A,A,1,5,7,2,4,3,6,1,4,3,B,D,A,E,B,B,1,5,7,2,5,4,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,A,D,B,E,B,A,1,6,5,2,7,3,5,1,3,2,B,D,B,E,B,B,1,6,6,2,7,3,4,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,B,D,B,E,B,A,1,3,7,2,6,2,7,1,2,3,B,D,B,E,B,B,1,4,7,2,7,2,7,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,B,D,B,E,B,A,1,2,6,1,7,2,6,1,4,3,B,D,B,E,B,A,1,2,6,1,7,2,6,1,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,A,D,A,E,A,A,1,3,2,1,6,4,5,1,5,3,B,D,A,E,B,B,1,4,2,1,7,5,6,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,B,D,B,E,B,A,1,5,6,2,6,3,5,1,3,4,B,D,B,E,B,A,1,5,6,2,6,3,5,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,B,D,B,E,B,A,1,4,3,1,5,2,5,1,4,3,B,D,B,E,B,B,1,5,4,2,6,3,6,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,B,D,B,E,B,A,1,5,6,3,5,2,7,1,2,4,B,D,B,E,B,A,1,5,5,3,4,2,6,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,A,D,A,E,A,A,1,3,1,1,6,2,5,1,4,2,B,D,B,E,B,B,1,4,1,1,5,3,6,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
