student_id,item_Family_Q1,item_Family_Q2,item_Family_Q3,item_Family_Q4,item_Family_Q5,item_Family_Q6,item_Family_Q7,item_Family_Q8,item_Family_Q9,item_Family_Q10,item_Family_Q11,item_Family_Q12,item_Family_Q13,item_Family_Q14,item_Family_Q15,item_Family_Q16,item_Family_Q17,item_Family_Q18,item_Family_Q19,item_Event_Q1,item_Event_Q2,item_Event_Q3,item_Event_Q4,item_Event_Q5,item_Event_Q6,item_Event_Q7,item_Scenario1_Q1,item_Scenario1_Q2,item_Scenario1_Q3,item_Scenario1_Q4,item_Scenario1_Q5
1,6,5,4,6,5,4,2,2,3,3,5,4,4,6,5,6,4,5,6,1,7,1,7,1,7,5,7,7,1,7,6
2,6,6,5,6,5,5,3,4,5,4,5,3,4,5,4,6,4,5,5,2,6,1,7,1,7,6,7,6,1,7,6
3,7,6,6,7,7,3,1,2,2,2,6,5,6,4,4,5,3,4,4,1,7,1,7,2,6,5,7,7,1,7,6
4,6,5,4,6,7,5,4,2,5,3,5,4,4,5,6,7,4,5,6,1,7,1,6,2,7,5,7,7,1,7,6
5,6,5,5,6,6,6,5,6,6,5,4,3,3,6,6,7,5,6,5,1,7,1,7,1,7,5,7,7,1,7,6
6,6,5,4,6,5,6,5,5,6,4,4,2,3,6,6,5,4,4,5,2,6,1,7,1,7,6,7,7,1,7,6
7,5,5,4,6,5,6,4,5,6,5,4,2,2,6,6,7,5,6,5,1,7,1,7,1,7,7,7,7,1,7,6
8,6,5,4,6,5,7,4,6,5,5,3,2,2,6,5,7,4,5,6,2,7,1,7,1,7,6,7,6,1,7,6
9,3,2,1,2,4,7,6,5,6,7,3,2,1,7,6,7,4,5,6,2,6,1,7,2,6,5,7,7,1,7,6
10,6,5,5,6,5,5,4,5,6,4,5,4,4,6,6,7,4,5,6,2,7,1,6,1,7,4,7,7,1,6,5
11,6,5,5,6,7,4,2,2,3,2,5,5,4,5,5,6,4,4,5,2,6,1,7,1,7,6,7,7,1,7,6
12,6,5,5,6,6,5,2,3,4,4,4,3,4,6,5,6,5,5,6,2,7,1,7,1,7,6,7,6,1,7,6
13,6,5,5,7,6,4,2,3,5,2,6,5,4,6,5,7,4,6,5,1,7,1,7,1,7,5,7,7,1,7,6
14,6,5,4,6,5,6,3,5,6,4,4,2,4,6,5,7,4,5,6,1,7,1,7,1,7,6,7,6,2,7,5
15,6,5,4,5,6,6,5,5,6,4,4,2,3,6,7,6,4,5,6,1,7,1,7,1,7,4,7,6,1,7,6
16,6,5,5,6,6,4,2,2,3,2,5,5,4,5,5,6,4,5,4,1,7,1,7,2,7,6,7,7,1,7,6
17,6,4,5,6,5,6,7,6,7,6,2,1,1,7,7,7,4,5,6,2,7,1,7,1,7,6,7,7,1,7,6
18,1,2,1,1,3,7,6,7,6,7,2,1,1,7,7,7,5,6,7,1,7,1,7,1,7,6,7,7,1,7,6
19,5,4,4,5,5,6,4,6,7,5,3,2,3,6,6,7,5,6,7,1,7,1,7,1,7,6,7,7,1,7,6
20,6,4,5,6,6,5,4,2,4,5,5,4,3,6,6,7,4,6,7,1,7,1,7,1,7,6,7,7,1,7,7
21,6,5,4,4,6,7,5,2,6,6,3,2,2,6,7,7,5,6,7,1,7,1,7,1,7,7,7,7,1,7,6
22,6,5,4,6,5,6,3,4,4,5,5,4,4,6,6,7,5,6,6,2,7,1,7,2,7,6,7,7,1,7,6
23,7,6,6,7,7,4,2,2,3,2,6,6,5,4,4,5,2,4,4,2,7,1,6,1,7,5,7,7,1,7,6
24,7,5,4,6,6,6,5,6,7,5,3,1,2,6,7,7,4,5,6,1,7,1,7,1,7,6,7,7,1,7,6
25,6,5,4,6,5,5,2,3,4,3,5,4,4,5,6,6,4,5,5,1,7,1,7,1,7,6,7,7,1,7,6
26,5,4,3,4,5,6,2,6,7,5,4,2,3,6,7,7,5,6,7,1,7,1,7,1,7,6,7,7,1,7,6
27,6,5,4,6,5,6,5,6,5,5,4,2,3,6,5,7,4,3,5,2,7,1,7,1,7,6,7,7,1,7,6
28,6,5,4,6,5,5,1,4,5,4,4,2,3,6,6,7,4,5,6,2,7,1,7,2,7,6,7,7,1,7,6
29,1,1,2,1,3,7,6,7,6,7,3,2,1,6,7,6,5,6,7,1,7,1,7,1,7,6,7,7,1,7,6
30,6,4,5,5,6,6,4,5,5,4,5,2,4,6,5,7,4,5,5,2,7,1,7,1,7,6,7,7,1,7,6
31,4,3,2,3,5,6,7,6,5,6,4,3,2,6,7,5,4,5,6,1,7,1,7,1,7,6,7,7,1,6,5
32,6,5,5,6,6,4,2,2,4,3,6,5,4,5,5,6,4,5,6,1,7,1,7,1,7,6,7,7,1,7,6
33,4,3,2,4,5,6,4,6,7,5,3,2,2,6,7,6,4,5,5,1,7,1,7,1,7,6,7,7,1,7,6
34,6,5,4,6,5,5,3,2,4,3,5,3,4,6,5,6,4,5,6,1,7,1,7,1,7,5,7,7,1,7,6
35,6,5,4,5,6,7,4,5,6,5,5,3,4,6,5,6,4,5,5,1,7,1,7,1,7,4,7,6,2,7,6
36,6,5,4,5,6,7,3,6,6,5,5,4,3,6,7,6,5,5,4,1,7,1,7,2,7,5,7,7,1,7,6
37,6,5,5,6,7,5,2,3,5,2,6,5,4,5,4,6,4,5,5,1,7,1,6,2,7,6,7,7,1,7,6
38,6,5,5,6,6,5,2,2,5,3,5,4,3,5,4,6,4,5,6,2,7,1,6,2,6,5,7,6,1,7,5
39,6,4,3,5,5,6,6,5,6,5,3,2,2,6,5,6,5,5,6,2,6,1,7,1,7,7,7,7,1,7,7
40,7,6,6,7,6,4,2,2,3,2,6,7,5,4,4,5,3,4,4,3,6,2,5,4,4,2,7,6,1,7,6
41,4,3,2,4,5,6,6,5,6,7,3,2,2,6,7,7,5,6,7,1,7,1,7,1,7,6,7,7,1,7,6
42,6,4,2,4,3,6,5,6,7,5,2,1,1,6,7,7,4,6,5,2,7,1,7,1,7,7,7,7,1,7,6
43,6,4,3,5,5,6,7,6,7,6,3,2,1,6,7,6,4,5,6,1,7,1,7,1,7,6,7,7,1,7,6
44,6,5,4,6,6,6,2,4,5,5,5,4,3,6,5,6,4,5,5,2,7,1,6,2,7,6,7,6,1,7,6
45,6,5,4,6,5,5,3,4,5,4,5,4,4,6,6,7,5,6,7,1,7,1,7,1,7,7,7,7,1,7,6
46,6,5,5,5,6,6,3,2,4,3,5,6,4,5,5,6,4,5,4,3,5,2,6,2,6,5,7,7,1,7,6
47,7,6,5,6,6,4,2,2,4,2,5,4,5,5,6,7,4,5,6,1,7,2,6,2,5,4,7,7,1,7,6
48,6,5,4,5,6,6,4,4,6,5,4,3,2,6,5,5,4,5,6,1,7,2,6,2,7,5,7,7,1,7,6
49,6,4,5,5,5,6,4,5,6,5,5,3,4,6,7,6,4,5,6,1,7,1,7,1,7,6,7,7,1,7,6
50,1,2,1,1,3,7,6,7,7,6,2,1,1,7,7,7,4,5,6,1,7,1,7,1,7,6,7,7,1,7,7
51,6,5,5,6,6,5,2,4,5,4,5,4,3,6,6,7,4,5,6,1,7,2,6,2,6,5,7,7,1,7,6
52,7,6,6,7,6,5,2,1,4,2,5,4,4,6,5,6,4,3,5,1,7,1,7,1,7,6,7,7,1,7,6
53,6,5,4,5,6,5,3,5,5,4,5,3,4,6,5,6,4,5,6,1,7,2,7,1,7,6,7,7,1,7,6
