student_id,Item_Appraisals_PRE_Q1,Item_Appraisals_PRE_Q2,Item_Appraisals_PRE_Q3,Item_Appraisals_PRE_Q4,Item_Appraisals_PRE_Q5,Item_Appraisals_PRE_Q6,item_GHSQ_PRE_Q1,item_GHSQ_PRE_Q2,item_GHSQ_PRE_Q3,item_GHSQ_PRE_Q4,item_GHSQ_PRE_Q5,item_GHSQ_PRE_Q6,item_GHSQ_PRE_Q7,item_GHSQ_PRE_Q8,item_GHSQ_PRE_Q9,item_GHSQ_PRE_Q10,Item_Appraisals_POST_Q1,Item_Appraisals_POST_Q2,Item_Appraisals_POST_Q3,Item_Appraisals_POST_Q4,Item_Appraisals_POST_Q5,Item_Appraisals_POST_Q6,item_GHSQ_POST_Q1,item_GHSQ_POST_Q2,item_GHSQ_POST_Q3,item_GHSQ_POST_Q4,item_GHSQ_POST_Q5,item_GHSQ_POST_Q6,item_GHSQ_POST_Q7,item_GHSQ_POST_Q8,item_GHSQ_POST_Q9,item_GHSQ_POST_Q10
1,A,B,A,D,A,A,1,3,6,2,5,2,6,1,4,4,B,C,B,D,B,B,1.0,4.0,6.0,2.0,5.0,2.0,6.0,1.0,4.0,3.0
2,A,B,A,D,A,A,1,6,7,1,3,1,4,1,5,3,B,B,B,D,B,B,1.0,6.0,7.0,1.0,4.0,1.0,5.0,1.0,4.0,3.0
3,A,B,A,D,A,A,1,3,6,2,1,1,5,1,5,4,B,C,B,E,B,B,1.0,4.0,6.0,2.0,2.0,1.0,6.0,1.0,5.0,3.0
4,A,B,A,E,A,A,1,5,6,2,4,1,6,1,3,2,B,C,B,E,B,B,1.0,5.0,6.0,2.0,4.0,1.0,6.0,1.0,3.0,2.0
5,A,B,A,D,A,A,1,5,7,3,4,2,6,1,3,4,B,C,B,D,B,B,2.0,6.0,7.0,4.0,5.0,3.0,6.0,1.0,2.0,5.0
6,A,B,A,E,A,A,1,6,5,2,3,1,5,1,4,3,B,B,A,E,B,B,1.0,6.0,5.0,2.0,4.0,1.0,5.0,1.0,3.0,4.0
7,A,B,A,D,A,A,1,5,6,2,1,2,6,1,4,3,B,B,B,D,B,B,1.0,5.0,6.0,2.0,2.0,3.0,6.0,1.0,4.0,3.0
8,A,B,A,D,A,A,1,5,7,2,6,1,7,1,3,3,B,B,A,D,B,B,1.0,6.0,7.0,2.0,7.0,1.0,7.0,1.0,2.0,3.0
9,A,A,A,E,A,A,1,4,6,2,2,1,7,1,5,2,B,B,A,E,B,B,1.0,5.0,6.0,2.0,4.0,1.0,7.0,1.0,4.0,3.0
10,A,B,A,D,A,A,1,5,6,2,4,3,6,1,5,4,B,C,B,D,B,B,1.0,5.0,6.0,2.0,5.0,3.0,6.0,1.0,4.0,4.0
11,A,B,A,E,A,A,1,4,7,1,3,1,6,1,5,4,B,C,B,E,B,B,1.0,5.0,7.0,2.0,4.0,1.0,6.0,1.0,4.0,5.0
12,A,B,A,D,A,A,1,4,6,3,2,1,5,1,6,3,B,C,B,E,B,B,1.0,4.0,6.0,2.0,3.0,1.0,6.0,1.0,4.0,4.0
13,A,B,A,D,A,A,1,5,6,2,1,2,5,1,4,3,B,C,B,D,B,B,1.0,5.0,6.0,2.0,2.0,2.0,6.0,1.0,4.0,3.0
14,A,B,A,D,A,A,1,4,6,2,5,3,5,1,4,3,B,B,B,D,B,B,1.0,4.0,6.0,2.0,5.0,3.0,5.0,1.0,4.0,3.0
15,A,B,A,D,A,A,1,7,6,1,2,2,3,1,4,3,B,B,A,D,B,B,1.0,7.0,6.0,1.0,3.0,2.0,4.0,1.0,3.0,4.0
16,A,B,A,E,A,A,1,6,5,1,2,1,4,1,4,5,B,C,B,E,B,B,1.0,6.0,5.0,1.0,3.0,1.0,4.0,1.0,2.0,6.0
17,A,B,A,E,A,A,1,5,6,2,4,3,6,1,3,5,B,C,B,E,B,B,1.0,5.0,6.0,2.0,4.0,3.0,6.0,1.0,4.0,5.0
18,A,B,A,D,A,A,1,5,6,1,3,2,6,1,4,3,B,C,B,D,B,B,1.0,6.0,5.0,1.0,4.0,3.0,6.0,1.0,3.0,4.0
19,A,B,A,D,B,A,1,2,6,1,3,1,4,1,5,2,B,C,B,E,C,B,1.0,3.0,7.0,1.0,4.0,1.0,5.0,1.0,4.0,3.0
20,A,B,A,D,A,A,1,5,6,2,3,1,7,1,4,2,B,C,B,D,B,B,1.0,5.0,6.0,2.0,4.0,1.0,7.0,1.0,3.0,3.0
21,A,B,A,D,B,A,1,6,7,1,2,3,4,1,6,3,B,C,B,E,C,B,1.0,6.0,7.0,1.0,3.0,3.0,4.0,1.0,5.0,4.0
22,A,B,A,D,A,A,1,6,5,1,3,2,5,1,3,4,B,C,B,D,B,B,1.0,6.0,5.0,1.0,4.0,3.0,5.0,1.0,2.0,4.0
23,A,B,A,D,A,A,1,7,5,2,3,1,5,1,6,3,B,C,B,D,B,B,1.0,7.0,5.0,2.0,4.0,1.0,5.0,1.0,4.0,4.0
24,A,B,A,D,B,A,1,5,6,2,5,3,5,1,4,3,B,C,B,E,C,B,1.0,5.0,6.0,2.0,4.0,3.0,4.0,1.0,3.0,3.0
25,A,C,A,D,A,A,1,3,5,2,2,2,3,1,6,2,B,C,B,E,B,B,1.0,4.0,6.0,2.0,3.0,2.0,4.0,1.0,6.0,3.0
26,A,B,A,E,A,A,1,5,3,2,1,1,4,1,6,3,B,C,B,E,B,B,1.0,5.0,4.0,2.0,2.0,1.0,5.0,1.0,5.0,4.0
27,A,C,A,E,A,A,1,7,6,1,2,1,5,1,3,2,B,C,B,E,B,B,1.0,7.0,5.0,1.0,3.0,1.0,5.0,1.0,3.0,3.0
28,A,C,A,E,A,A,1,5,6,2,3,2,4,1,4,3,B,C,A,E,B,B,1.0,5.0,6.0,2.0,4.0,3.0,5.0,1.0,4.0,4.0
29,A,B,A,D,A,A,1,4,6,2,3,2,6,1,5,3,B,B,B,E,B,B,1.0,4.0,5.0,2.0,4.0,3.0,5.0,1.0,4.0,4.0
30,A,B,A,D,B,A,1,6,7,2,3,1,7,1,5,4,B,C,B,D,C,B,1.0,6.0,7.0,2.0,4.0,2.0,7.0,1.0,4.0,5.0
31,A,C,A,E,A,A,1,3,6,2,7,4,5,1,5,3,B,C,B,E,B,B,1.0,4.0,6.0,2.0,7.0,5.0,5.0,1.0,4.0,3.0
32,A,C,A,D,B,A,1,6,7,3,4,2,5,1,3,3,B,C,B,D,C,B,1.0,6.0,7.0,3.0,5.0,2.0,6.0,1.0,2.0,3.0
33,A,B,A,D,B,A,1,3,6,2,4,3,5,1,5,3,B,B,B,D,C,B,1.0,4.0,6.0,2.0,4.0,3.0,5.0,1.0,4.0,3.0
34,A,B,A,E,A,A,1,4,6,2,1,1,3,1,5,5,B,C,B,E,B,B,1.0,4.0,6.0,2.0,1.0,1.0,4.0,1.0,5.0,5.0
35,A,A,A,D,A,A,1,5,7,3,5,1,6,1,3,4,B,B,B,D,B,B,1.0,6.0,7.0,4.0,6.0,1.0,6.0,1.0,2.0,6.0
36,A,C,A,D,B,A,1,6,7,2,3,1,6,1,5,2,B,C,B,E,B,B,1.0,7.0,7.0,2.0,4.0,1.0,6.0,1.0,3.0,4.0
37,A,B,A,E,A,A,1,5,6,2,4,3,6,1,5,4,B,C,B,E,B,B,1.0,5.0,6.0,2.0,5.0,3.0,6.0,1.0,4.0,4.0
